latitude,longitude,city
60.17,24.94,Helsinki
59.33,18.06,Stockholm
57.71,11.97,Gothenburg
59.91,10.74,Oslo
60.39,5.3,Bergen
58.15,8.02,Kristiansand
59.93,30.36,St Petersburg
55.76,37.61,Moscow
59.44,24.75,Tallinn
56.96,24.09,Riga
55.71,21.14,Klaipeda
54.72,20.45,Kaliningrad
54.35,18.64,Gdansk
53.56,9.99,Hamburg
52.53,13.39,Berlin
52.37,4.9,Amsterdam
50.86,4.34,Brussels
48.87,2.35,Paris
51.51,-.13,London
61.50,23.76,Tampere
60.45,22.27,Turku
53.42,-2.99,Liverpool
53.48,-2.25,Manchester
55.96,-3.19,Edinburgh
55.86,-4.25,Glasgow
53.36,-6.26,Dublin
54.61,-5.93,Belfast
48.39,-4.49,Brest
49.64,-1.62,Cherbourg
43.30,5.39,Marseille
43.71,7.26,Nice
44.41,8.94,Genova
41.39,2.16,Barcelona
40.43,-3.71,Madrid
36.72,-4.42,Malaga
38.74,-9.15,Lisbon
41.17,-8.63,Porto
43.26,-2.95,Bilbao
42.88,-8.55,Santiago de Compostela
46.22,6.14,Geneve
46.96,7.43,Bern
47.37,8.54,Zurich
48.15,11.57,Munchen
49.45,11.07,Nurnberg
50.12,8.68,Frankfurt am Main
50.95,6.94,Köln
50.08,14.43,Prague
48.22,16.37,Wien
48.15,17.11,Bratislava
47.51,19.03,Budapest
45.83,15.97,Zagreb
43.86,18.4,Sarajevo
41.34,19.81,Tirana
45.46,12.3,Venice
45.68,13.76,Trieste
41.92,12.49,Rome
40.86,14.25,Napoli
38.12,13.36,Palermo
37.99,23.72,Athens
39.95,32.85,Ankara
41.02,28.96,Istanbul
42.71,23.31,Sofia
44.43,26.09,Bukarest
44.82,20.45,Belgrad
46.50,30.72,Odessa
64.15,-21.96,Reykjavik
54.92,23.88,Kaunas
54.70,25.29,Vilna
53.91,27.55,Minsk
50.46,30.47,Kiev
52.25,20.98,Warzow
50.07,19.92,Krakow
49.23,16.56,Brno
48.78,9.18,Stuttgart
51.36,12.37,Leipzig
55.68,12.57,Copenhagen
45.47,9.18,Milano
43.78,11.25,Florence
57.15,-2.09,Aberdeen
50.91,-1.42,Southampton
51.93,4.48,Rotterdam
51.22,4.4,Antwerpen
51.06,3.72,Gent
51.04,2.38,Dunkerque
47.22,-1.55,Nantes
44.84,-0.58,Bordeaux
43.61,1.44,Toulouse
41.66,-0.89,Zaragoza
39.47,-.38,Valencia
36.14,-5.35,Gibraltar
37.39,-5.99,Sevilla
37.02,-7.93,Faro
43.61,3.87,Montpellier
45.76,4.83,Lyon
46.44,6.91,Montreux
45.07,7.68,Torino
43.94,12.47,San Marino
40.64,22.93,Thessaloniki
43.23,27.9,Varna
51.05,13.73,Dresden
51.23,6.77,Dusseldorf
55.41,10.40,Odense
56.17,10.19,Arhus
63.43,10.38,Trondheim
68.98,33.08,Murmansk
